element,sp_num,obs_wl_air(nm),unc_obs_wl,intens,gA(10^8 s^-1),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Th,1,"=""360.01820""","=""0.00013""","=""230""","=""""","=""""",,"=""1.393796936""","=""4.83664586""","=""5f.6d.7s2""","=""3F*""","=""3""","=""""","=""""","=""3""",7,7,,"=""""","=""L3552""",
Th,1,"=""360.043213""","=""0.000022""","=""580""","=""""","=""""",,"=""1.215641081""","=""4.65825156""","=""6d3.(4F).7s""","=""5F""","=""5""","=""""","=""*""","=""5""",11,11,,"=""""","=""L5951""",
Th,2,"=""360.06077""","=""0.00005""","=""87""","=""""","=""""",,"=""2.80726332""","=""6.24970566""","=""5f.6d.(1H*).7s""","=""*""","=""9/2""","=""5f2.6d+5f.6d.7p""","=""""","=""7/2""",10,8,,"=""""","=""L5951""",
Th,2,"=""360.08181""","=""0.00004""","=""110""","=""""","=""""",,"=""1.77909747""","=""5.22133930""","=""6d3""","=""4P""","=""1/2""","=""6d2.(1D).7p""","=""*""","=""3/2""",2,4,,"=""""","=""L5951""",
Th,2,"=""360.09769""","=""0.00003""","=""270""","=""""","=""""",,"=""4.08645446""","=""7.52854381""","=""5f.6d.(1D*).7p""","=""""","=""3/2""","=""""","=""*""","=""3/2 or 5/2""",4,4,,"=""""","=""L5951""",
Th,2,"=""360.103425""","=""0.000014""","=""1800""","=""""","=""""",,"=""2.197898491""","=""5.63993280""","=""6d3""","=""2H""","=""11/2""","=""6d2.(3F).7p""","=""2G*""","=""9/2""",12,10,,"=""""","=""L5951""",
Th,1,"=""360.129571""","=""0.000025""","=""420""","=""""","=""""",,"=""1.388254945""","=""4.83003938""","=""5f.6d.7s2""","=""3H*""","=""5""","=""""","=""""","=""4""",11,9,,"=""""","=""L5951""",
Th,1,"=""360.17714""","=""0.00004""","=""210""","=""""","=""""",,"=""1.388254945""","=""4.82958495""","=""5f.6d.7s2""","=""3H*""","=""5""","=""""","=""""","=""5""",11,11,,"=""""","=""L5951""",
Th,2,"=""360.19802""","=""0.00005""","=""64""","=""""","=""""",,"=""1.669939242""","=""5.11106986""","=""5f.6d.(3G*).7s""","=""4G*""","=""9/2""","=""5f.6d.(3H*).7p""","=""""","=""11/2""",10,12,,"=""""","=""L5951""",
Th,2,"=""360.24780""","=""0.00018""","=""94""","=""""","=""""",,"=""1.546352910""","=""4.98700534""","=""5f.6d.(3F*).7s""","=""2F*""","=""5/2""","=""5f.7s.(1F*).7p""","=""""","=""3/2""",6,4,,"=""""","=""L2372""",
Th,2,"=""360.26461""","=""0.00018""","=""23""","=""""","=""""",,"=""2.49458139""","=""5.93507441""","=""5f.(2F*).6d2.(3P)""","=""*""","=""5/2""","=""5f2.6d""","=""""","=""3/2""",6,4,,"=""""","=""L2372""",
Th,1,"=""360.29065""","=""0.00004""","=""120""","=""""","=""""",,"=""1.920524884""","=""5.36077031""","=""5f.6d.7s2""","=""3G*""","=""5""","=""""","=""""","=""6""",11,13,,"=""""","=""L5951""",
Th,2,"=""360.29360""","=""0.00018""","=""120""","=""""","=""""",,"=""1.378280820""","=""4.81850284""","=""5f.6d.(3G*).7s""","=""4G*""","=""7/2""","=""5f.6d.(3H*).7p""","=""""","=""5/2""",8,6,,"=""""","=""L2372""",
Th,2,"=""360.30325""","=""0.00004""","=""160""","=""""","=""""",,"=""1.038846135""","=""4.47897156""","=""5f.7s2""","=""2F*""","=""7/2""","=""5f2.(3F).6d""","=""""","=""9/2""",8,10,,"=""""","=""L5951""",
Th,2,"=""360.320401""","=""0.000017""","=""1200""","=""""","=""""",,"=""1.205163326""","=""4.64512501""","=""5f.6d.(3F*).7s""","=""4F*""","=""7/2""","=""5f.6d.(3F*).7p""","=""""","=""5/2""",8,6,,"=""""","=""L5951""",
